CommentID,VideoID,VideoTitle,AuthorName,AuthorChannelID,CommentText,Sentiment,Likes,Replies,PublishedAt,CountryCode,CategoryID
UgyRjrEdJIPrf68uND14AaABAg,mcY4M9gjtsI,They killed my friend.#tales #movie #shorts,@OneWhoWandered,UC_-UEXaBL1dqqUPGkDll49A,Anyone know what movie this is?,Neutral,0,2,2025-01-15 00:54:55,NZ,1
UgxXxEIySAwnMNw8D7N4AaABAg,2vuXcw9SZbA,Man Utd conceding first penalty at home in years and this is their reaction 😭,@chiefvon3068,UCZ1LcZESjYqzaQRhjdZJFwg,The fact they're holding each other back while equally being most aggressive 😂😂,Positive,0,0,2025-01-13 23:51:46,AU,17
UgxB0jh2Ur41mcXr5IB4AaABAg,papg2tsoFzg,Welcome to Javascript Course,@Abdulla-ip8qr,UCWBK35w5Swy1iF5xIbEyw3A,waiting next video will be?,Neutral,1,0,2020-07-06 13:18:16,IN,27
UgwMOh95MfK0GuXLLrF4AaABAg,31KTdfRH6nY,Building web applications in Java with Spring Boot 3 – Tutorial,@finnianthehuman,UCwQ2Z03nOcMxWozBb_Cv66w,"Thanks for the great video.

I don't understand why the DB continues to be accesible through port 8080 when the local machine connects to the docker container through port 5432? Or, why is it not possible to make GET requests to port 5432 on my local machine?

Is it just because the port 5432 is only the port used to connect the app to the database, but the app itself is still handling HTTP through 8080? So an incoming request hits 8080, then goes through 5432 to get to the database?",Neutral,0,1,2024-09-18 12:04:12,US,27
UgxJuUe5ysG8OSbABAl4AaABAg,-hV6aeyPHPA,After a new engine her car dies on her way home makes me think the worst! 😱#fyp #mobile #love #help,@ryoutubeplaylistb6137,UCTTcJ0tsAKQokmHB2qVb1qQ,"Good person helping good people.
This is how it is in America with the exception of NY and DC.",Positive,3,1,2025-01-10 19:39:03,US,2
UgzoTpY5F11FtcooFRR4AaABAg,NnJ4XJdZW4I,The lawyer brilliantly got it out of the way #bettercallsaul #suits #shorts,@TrymAndresBernes,UCX_OJCxRZDFELHrLemK4ONw,Dei løk de seim😂,Neutral,0,0,2025-01-14 20:23:42,NZ,1
UgzJ-2rV0-YNPyMj0u14AaABAg,X4wNLFrv9Co,Which one will you choose to use the cola keycap?#keyboard,@JasmineHatchel-c3c,UCHvnyO2K7-1oXXdWQh0510g,Number two because it looks the best with it,Positive,0,0,2025-01-10 06:00:19,US,28
UgwuFh4s9cHu3dHrPqJ4AaABAg,sKniMxl9zwo,Trump’s Reaction During ‘Abuse of Power’ Says It All,@StaceyBrown-h6o,UCzTaRiUaLcaLD9I0l2tCBCA,Thank God we don’t have to listen to his drivel anymore,Positive,0,0,2025-01-14 01:24:48,IE,25
UgwzYX76p4RK8AHVcYN4AaABAg,yUImrnDqGUk,Thank god this angel found this beautiful dog and decided to follow her ❤️,@cassiegerst6123,UC-QvE5-ZberkWmSYDXLvfQA,"Very similar thing happened to me! We lived near a beach that had a stray dog. We would all leave food out for her. One day on my morning walk, I noticed she was near an empty tide pool, empty as in had no water and it was quite steep, when she saw me ran over, she kept looking at the tide pool whining. I went over and noticed a little of puppies. There were seagulls and pelicans around and although the puppies weren’t hers, she knew they weren’t safe. So I stayed with her and the puppies, helping to fend off the sea birds until the mother came back from what I assume was hunting due to the blood on her mouth. That day I ended up adopting two stray dogs and a litter of puppies. One puppy died a few days later but the rest are as healthy as can be!!",Positive,0,0,2025-01-14 03:54:19,AU,15
UgzW7h-gmtmgIFFClLJ4AaABAg,5VPxcrvVkBc,He betrayed his own friend - Enjoying a cup of tea ☠️☕#shorts #coldwar #callofduty,@josh_playz2709,UCflV1g1fmgs5i2QZwiaHT8g,im about to cry😢,Negative,0,0,2025-01-13 09:55:03,IE,20
